source,target,type,weight,a,b,c,signal
2,86,Undirected,-0.00460000,3,3,0,neg
2,87,Undirected,-0.00590000,2,3,1,neg
2,88,Undirected,-0.01550000,3,2,1,neg
2,89,Undirected,0.00400000,4,2,0,pos
2,90,Undirected,-0.01190000,4,2,0,neg
2,91,Undirected,-0.03110000,2,3,1,neg
2,92,Undirected,-0.00780000,1,3,2,neg
2,93,Undirected,0.00260000,4,2,0,pos
2,94,Undirected,-0.00520000,3,1,2,neg
2,95,Undirected,-0.00870000,3,2,1,neg
2,96,Undirected,-0.01020000,3,3,0,neg
2,97,Undirected,-0.00910000,3,1,2,neg
2,98,Undirected,0.00030000,1,3,2,pos
3,4,Undirected,-0.02870000,2,3,1,neg
3,5,Undirected,0.00460000,3,3,0,pos
3,6,Undirected,-0.00150000,3,3,0,neg
3,7,Undirected,-0.02470000,1,2,3,neg
3,8,Undirected,0.01040000,2,3,1,pos
3,9,Undirected,-0.02740000,3,3,0,neg
3,10,Undirected,-0.03140000,1,2,3,neg
3,11,Undirected,-0.01080000,1,2,3,neg
3,12,Undirected,-0.03170000,2,1,3,neg
3,13,Undirected,-0.00180000,2,1,3,neg
3,14,Undirected,-0.01510000,0,4,2,neg
3,15,Undirected,-0.02520000,1,2,3,neg
3,16,Undirected,-0.00470000,1,2,3,neg
3,17,Undirected,-0.01080000,0,4,2,neg
3,18,Undirected,-0.02950000,2,2,2,neg
3,19,Undirected,0.00080000,2,1,3,pos
3,20,Undirected,-0.02290000,1,3,2,neg
