#OTU ID	mgm4713017	mgm4713020	mgm4713021	mgm4713022	mgm4713025	mgm4713028	mgm4713031	mgm4713033	mgm4713035	mgm4713037
Candidatus.Shapirobacteria	2.14369869771733e-05	1.84337551058429e-05	2.16419996257518e-05	2.51030942241295e-05	1.45362524656328e-05	1.77045674243041e-05	2.66128056488465e-05	1.98723593735955e-05	3.49989868714327e-05	3.06531246909243e-05
Candidatus.Beckwithbacteria	2.02936810050574e-05	2.50699069439464e-05	2.56009019963161e-05	3.44749160678045e-05	1.68536260471105e-05	1.96717415825601e-05	3.26471046041082e-05	2.69201147328358e-05	3.07885824357716e-05	3.04136471542765e-05
Candidatus.Amesbacteria	3.40133526704483e-05	1.19204949684451e-05	3.66858286338963e-05	2.35969085706817e-05	1.58002744191661e-05	1.67209803451761e-05	2.73864337200339e-05	1.1207086390923e-05	3.84199404754073e-05	3.44847652772898e-05
Candidatus.Chisholmbacteria	1.48629776375068e-05	1.15518198663282e-05	1.29324144105102e-05	1.72374580339022e-05	1.47469227912217e-05	1.41636539394433e-05	1.45442077383231e-05	1.14381603371276e-05	1.05260110891527e-05	1.10159666858009e-05
Candidatus.Collierbacteria	4.91621568009842e-05	6.15687420535154e-05	4.80346820961807e-05	8.53505203620402e-05	2.69658016753768e-05	3.02944820371426e-05	8.43254597594264e-05	6.07724478518095e-05	5.07880035051617e-05	5.12481928426391e-05
Candidatus.Woykebacteria	4.05873620101148e-05	2.56843654474745e-05	3.6421901809192e-05	2.96216511844728e-05	2.54911093962547e-05	3.16715039479218e-05	2.63033544203715e-05	2.66890407866312e-05	3.47358365942039e-05	3.28084225207549e-05
Candidatus.Pacebacteria	0.0001209046065512	3.67446185109803e-05	0.0001248373880851	6.34271514063004e-05	0.0001491545905169	0.0001581608023237	7.14832337777156e-05	3.57009246886105e-05	0.0001168387230895	0.0001139913074443
Candidatus.Blackburnbacteria	2.28661194423182e-06	2.21205061270115e-06	2.6392682470429e-07	1.84089357643616e-06	2.52804390706658e-06	1.96717415825601e-06	1.5472561423748e-06	1.27090670412529e-06	1.31575138614409e-06	4.78955073295692e-07
Candidatus.Microgenomates	0.0	2.33494231340677e-06	0.0	3.34707922988393e-06	4.21340651177763e-07	5.90152247476804e-07	2.78506105627463e-06	2.07966551584139e-06	7.89450831686451e-07	1.91582029318277e-06
Candidatus.Gracilibacteria	1.77212425677966e-05	8.35663564798213e-06	1.66273899563703e-05	9.70652976666339e-06	1.62216150703439e-05	1.41636539394433e-05	1.09855186108611e-05	7.85651417095636e-06	1.78942188515596e-05	1.53265623454622e-05
