#OTU ID	mgm4739174	mgm4739175	mgm4739176	mgm4739177	mgm4739178	mgm4739179	mgm4739181	mgm4739182	mgm4739183	mgm4739184	mgm4739185	mgm4739186	mgm4739187	mgm4739188	mgm4739189
Kiritimatiellota	4.96048581431596e-05	3.60642241652687e-05	0.00016752055616823998	0.00033065955178527	3.68046842325387e-05	3.03259411237539e-05	2.29662480765767e-05	7.01178499270255e-05	0.00014855451876623	1.37638249975531e-05	3.72865943868039e-05	3.49515920450177e-05	0.00010685637752549	3.86402081419212e-05	4.7162312139959496e-05
Thermodesulfobacteriota	0.0056445107002900605	0.004347604402819971	0.00273616908408136	0.0474586044375163	0.00164951902969469	0.0029332505121424	0.0024126647979393198	0.00712605111850955	0.0107423099844222	0.0018672922580013698	0.00296909542722018	0.00358836344995515	0.0105152315406993	0.00566007493338142	0.0046348381914318205
Nitrospirota	0.00225310487250246	0.0025450149915249103	0.0017310457470718801	0.0141654226211855	0.00067252195734002	0.00221274797992632	0.00149341049992687	0.0041438783654403795	0.00886843264716236	0.00141308603308212	0.00143613528057561	0.00510875770391341	0.00918214535680085	0.00215097158656695	0.00250036322587172
Campylobacterota	0.00025063507272333	0.0001324427542621	0.00051652171485209	0.0013747618803289301	0.00027101631116687	0.00017045270355765	0.00019339998380275	0.00102320121745363	0.00416150560314	0.00015599001663893	0.00022432096300447997	0.00051844861533442	0.0173811314700542	0.00010590279268525999	0.00039175146374321004
Bacteroidota	0.00876439519929404	0.00468399656270636	0.025169963564279	0.0170656163746519	0.0048916771225428705	0.007157967827313629	0.00664933319311835	0.0295862700593318	0.0196008472431572	0.0304364050112557	0.00754572418985853	0.011277713699858999	0.0109437648926041	0.00815022168030523	0.0171427397804214
Ignavibacteriota	0.00161346328065645	0.0006982779954758	0.00210796699845043	0.00834630316920077	0.00050188205771643	0.0011157854889326	0.00092348492265813	0.00554277275410795	0.0037738537614969	0.00069430850543212	0.0008299274234482099	0.00353011079654678	0.00160581669317178	0.00031341502159557997	0.00167730481078404
Chlorobiota	7.31018962109721e-05	0.00012995556638864	0.00019544064886295	0.00085596844563134	4.01505646173149e-05	0.00011816659817186	0.00010274374139521	0.00027960574723986	0.00056997437341782	3.36449055495742e-05	8.78039158140866e-05	0.00013398110283923	0.00044525169183809004	0.00013452516908668002	0.00016430741003598
Balneolota	5.22156401506943e-06	9.94875149386722e-06	0.0	3.33917281359516e-05	0.0	7.32005475400956e-06	3.02187474691799e-06	8.656524682348829e-06	3.26547818103959e-05	1.52931388861701e-06	4.2097767856068905e-06	0.0	2.9106025546529802e-05	1.28800693806404e-05	1.5213649077406303e-05
Gemmatimonadota	0.00066836019392888	0.00141023552425568	0.0005723619002415	0.00202386449799609	0.00044165621079045997	0.0008763151262657099	0.00074277681279244	0.0018074823536744398	0.00222182393283802	0.00042361994714691	0.00110957688134925	0.00101359616930551	0.0025055353063895103	0.0015069681175349302	0.00152821104982546
candidate division Zixibacteria	9.398815227124979e-05	0.00023752644191607999	0.0	0.00039418527848293996	0.0	6.48347706783704e-05	2.8405622621029102e-05	9.6087423974072e-05	0.00030688073360451003	0.00012846236664382	2.88670408155901e-05	0.00037864224715435	0.00018168605566069	7.58492974637712e-05	4.79229945938298e-05
Candidatus Marinimicrobia	5.22156401506943e-05	1.8653909051001e-05	1.39600463473539e-05	0.00021093798993198	0.0	1.4640109508019101e-05	1.8131248481507898e-05	5.0207843157623204e-05	0.00012882558808911002	2.14103944406382e-05	1.32307270404788e-05	5.8252653408362705e-06	0.00010610103084175999	2.43290199412096e-05	2.9666615700942304e-05
Candidatus Hydrogenedentes	0.0	5.59617271530031e-06	1.39600463473539e-05	4.31649168586691e-05	0.0	1.04572210771565e-06	6.04374949383598e-07	1.29847870235232e-05	4.7559710629156204e-05	3.05862777723402e-06	5.41257015292315e-06	0.0	1.6214775477478602e-05	2.86223764014231e-06	9.88887190031409e-06
Fibrobacterota	1.0443128030138901e-05	9.326954525500521e-06	0.00022336074155766	7.00411858461423e-05	6.69176076955249e-06	5.22861053857826e-06	7.25249939260318e-06	1.6447396896462802e-05	4.7126787385457794e-05	7.64656944308505e-06	2.40558673463251e-06	0.0	2.4322163216217802e-05	1.43111882007116e-06	8.36750699257346e-06
Candidatus Cloacimonetes	0.0	1.8653909051001e-06	0.0	1.14020535098371e-05	0.0	6.2743326462939105e-06	1.2087498987671998e-06	6.92521974587906e-06	1.34206205546514e-05	0.0	4.81117346926502e-06	0.0	1.6869409270047598e-05	5.72447528028462e-06	6.84614208483283e-06
Elusimicrobiota	0.00101298341892347	0.00071817549846354	0.00022336074155766	0.00830069495516142	0.0004215809284818	0.00048939794641092	0.0004309193389105	0.0012153760654017801	0.0114276274791968	0.00026915924439659	0.00062424975763713	0.00050679808465275	0.00621131649323151	0.00087727583670361	0.00095161374979176
Acidobacteriota	0.0043626167345905105	0.0073614543084933705	0.0069241829882875205	0.0134861860049566	0.00314847344207445	0.00529867391979521	0.00469961960640686	0.0138339920948617	0.0285486285362717	0.0027221787217382803	0.008380462786776009	0.00506215558118672	0.0266273302256357	0.00814449720502494	0.0119358683836791
Myxococcota	0.00341229208384787	0.00567824991512471	0.0072033839152346	0.00807591161453892	0.00324884985361773	0.005251616424948	0.00539283767334984	0.0103185774213598	0.0122866708870498	0.00214409807184105	0.00720473227022437	0.004543706965852289	0.009306576133834541	0.00602071687603935	0.00946897518577767
Nitrospinota	8.093424223357621e-05	5.4096336247903e-05	0.0	0.0007720819090946799	1.67294019238812e-05	3.03259411237539e-05	3.08231224185635e-05	0.00010560960112465	0.00053923682311523	4.740873054712729e-05	3.48810076521714e-05	6.99031840900353e-05	0.00052058493442911	6.58314657232731e-05	5.6290501586403297e-05
Candidatus Tectomicrobia	6.26587681808332e-05	5.72053210897365e-05	1.39600463473539e-05	0.00023455652934522002	3.68046842325387e-05	6.69262148938017e-05	4.59324961531534e-05	8.829655175995799e-05	0.00028016318485055	2.14103944406382e-05	4.8713131376308296e-05	2.3301061363345103e-05	0.00025943640763965	7.72804162838424e-05	6.5418691032847e-05
Spirochaetota	0.00047255154336378	0.00061744438958813	0.00067008222467298	0.00294987412947358	0.00023086574654956	0.00051763244331924	0.00043635871345495	0.00114612386794298	0.00205978694733946	0.00038385778604287004	0.0003662505803478	0.00049514755397108	0.00141904463650728	0.0009445384212469599	0.00071352014173035
