source,target,type,weight,a,b,c,signal
17,100,Undirected,-0.00530000,0,2,59,neg
17,101,Undirected,0.00090000,1,26,34,pos
17,102,Undirected,-0.00010000,0,9,52,neg
17,103,Undirected,-0.00500000,1,12,48,neg
17,104,Undirected,-0.00240000,0,2,59,neg
17,105,Undirected,-0.00080000,0,6,55,neg
17,106,Undirected,-0.00520000,0,2,59,neg
18,19,Undirected,-0.00570000,0,8,53,neg
18,20,Undirected,-0.00280000,0,3,58,neg
18,21,Undirected,-0.00260000,0,3,58,neg
18,22,Undirected,-0.00450000,0,4,57,neg
18,23,Undirected,-0.00590000,1,9,51,neg
18,24,Undirected,-0.00480000,0,6,55,neg
18,25,Undirected,0.00210000,1,2,58,pos
18,26,Undirected,-0.00370000,0,3,58,neg
18,27,Undirected,-0.00390000,0,4,57,neg
18,28,Undirected,0.00180000,0,3,58,pos
18,29,Undirected,-0.00510000,0,4,57,neg
18,30,Undirected,-0.00240000,0,5,56,neg
18,31,Undirected,-0.00590000,1,5,55,neg
18,32,Undirected,-0.00030000,0,3,58,neg
18,33,Undirected,-0.00020000,0,3,58,neg
18,34,Undirected,0.00130000,0,3,58,pos
18,35,Undirected,-0.00090000,1,4,56,neg
18,36,Undirected,0.00220000,0,4,57,pos
18,37,Undirected,0.00030000,0,3,58,pos
18,38,Undirected,-0.00030000,0,8,53,neg
18,39,Undirected,0.00070000,0,4,57,pos
18,40,Undirected,-0.00280000,0,4,57,neg
18,41,Undirected,-0.00210000,0,9,52,neg
18,42,Undirected,-0.00000000,0,4,57,pos
18,43,Undirected,-0.00390000,0,11,50,neg
18,44,Undirected,-0.00260000,1,2,58,neg
18,45,Undirected,0.00060000,0,4,57,pos
18,46,Undirected,-0.00520000,0,7,54,neg
18,47,Undirected,-0.00190000,0,3,58,neg
18,48,Undirected,-0.00070000,0,3,58,neg
18,49,Undirected,-0.00090000,0,7,54,neg
18,50,Undirected,-0.00030000,0,7,54,neg
18,51,Undirected,-0.00380000,0,9,52,neg
18,52,Undirected,0.00620000,1,8,52,pos
18,53,Undirected,-0.00040000,0,3,58,neg
18,54,Undirected,-0.00440000,0,4,57,neg
18,55,Undirected,-0.00200000,1,7,53,neg
18,56,Undirected,0.00000000,0,4,57,pos
18,57,Undirected,-0.00130000,0,3,58,neg
18,58,Undirected,0.00000000,2,12,47,pos
18,59,Undirected,0.00430000,1,8,52,pos
18,60,Undirected,0.00660000,0,4,57,pos
18,61,Undirected,-0.00180000,2,21,38,neg
18,62,Undirected,-0.00520000,1,4,56,neg
18,63,Undirected,-0.00120000,0,5,56,neg
18,64,Undirected,0.00250000,0,3,58,pos
18,65,Undirected,-0.00070000,0,4,57,neg
18,66,Undirected,0.00300000,0,4,57,pos
18,67,Undirected,-0.00380000,0,3,58,neg
18,68,Undirected,-0.00580000,0,7,54,neg
18,69,Undirected,-0.00340000,0,3,58,neg
18,70,Undirected,-0.00070000,0,9,52,neg
18,71,Undirected,-0.00020000,0,3,58,neg
18,72,Undirected,0.00040000,0,3,58,pos
18,73,Undirected,0.00220000,0,5,56,pos
18,74,Undirected,0.00290000,0,4,57,pos
18,75,Undirected,-0.00800000,0,12,49,neg
18,76,Undirected,-0.00050000,2,6,53,neg
18,77,Undirected,0.00330000,2,21,38,pos
18,78,Undirected,0.00370000,0,4,57,pos
18,79,Undirected,-0.00600000,2,37,22,neg
18,80,Undirected,-0.00430000,0,7,54,neg
18,81,Undirected,-0.00220000,1,17,43,neg
18,82,Undirected,-0.00000000,0,16,45,pos
18,83,Undirected,-0.00650000,2,34,25,neg
18,84,Undirected,0.00380000,0,3,58,pos
18,85,Undirected,-0.00390000,2,33,26,neg
18,86,Undirected,-0.00840000,1,15,45,neg
18,87,Undirected,-0.00260000,2,7,52,neg
18,88,Undirected,-0.00120000,0,3,58,neg
18,89,Undirected,-0.00360000,0,9,52,neg
18,90,Undirected,-0.00350000,2,28,31,neg
18,91,Undirected,0.00080000,2,21,38,pos
18,92,Undirected,0.00370000,1,5,55,pos
18,93,Undirected,-0.00440000,0,7,54,neg
18,94,Undirected,0.00000000,1,13,47,pos
18,95,Undirected,-0.00500000,2,23,36,neg
18,96,Undirected,-0.00170000,2,59,0,neg
18,97,Undirected,0.00330000,2,37,22,pos
18,98,Undirected,-0.00260000,2,9,50,neg
18,99,Undirected,-0.00250000,1,25,35,neg
18,100,Undirected,-0.00530000,0,3,58,neg
18,101,Undirected,-0.00240000,2,25,34,neg
18,102,Undirected,-0.00240000,1,8,52,neg
18,103,Undirected,-0.00570000,1,13,47,neg
18,104,Undirected,-0.00490000,0,3,58,neg
18,105,Undirected,0.00240000,0,7,54,pos
18,106,Undirected,-0.00500000,0,3,58,neg
19,20,Undirected,-0.00470000,1,5,55,neg
19,21,Undirected,-0.00110000,0,7,54,neg
19,22,Undirected,-0.00220000,1,6,54,neg
19,23,Undirected,-0.00480000,2,11,48,neg
19,24,Undirected,-0.00400000,2,6,53,neg
19,25,Undirected,-0.00310000,1,6,54,neg
19,26,Undirected,0.00320000,1,5,55,pos
19,27,Undirected,-0.00090000,0,8,53,neg
19,28,Undirected,-0.00020000,0,7,54,neg
19,29,Undirected,0.00220000,2,4,55,pos
19,30,Undirected,0.00010000,2,5,54,pos
19,31,Undirected,0.00000000,2,7,52,pos
19,32,Undirected,0.00010000,1,5,55,pos
19,33,Undirected,-0.00480000,0,7,54,neg
19,34,Undirected,-0.00140000,0,7,54,neg
19,35,Undirected,0.00180000,1,8,52,pos
19,36,Undirected,-0.00640000,0,8,53,neg
19,37,Undirected,0.00060000,1,5,55,pos
19,38,Undirected,-0.00220000,3,6,52,neg
19,39,Undirected,-0.00250000,0,8,53,neg
19,40,Undirected,-0.00110000,1,6,54,neg
19,41,Undirected,-0.00020000,2,9,50,neg
19,42,Undirected,0.00070000,1,6,54,pos
19,43,Undirected,-0.00390000,4,7,50,neg
19,44,Undirected,-0.00250000,1,6,54,neg
19,45,Undirected,-0.00500000,0,8,53,neg
19,46,Undirected,-0.00090000,3,5,53,neg
19,47,Undirected,-0.00070000,0,7,54,neg
19,48,Undirected,-0.00110000,0,7,54,neg
19,49,Undirected,-0.00350000,0,11,50,neg
19,50,Undirected,-0.00210000,1,9,51,neg
19,51,Undirected,-0.00300000,1,11,49,neg
19,52,Undirected,0.00090000,2,10,49,pos
19,53,Undirected,-0.00500000,0,7,54,neg
19,54,Undirected,-0.00230000,1,6,54,neg
19,55,Undirected,0.00090000,3,7,51,pos
19,56,Undirected,-0.00300000,1,6,54,neg
19,57,Undirected,0.00430000,0,7,54,pos
19,58,Undirected,-0.00010000,3,14,44,neg
19,59,Undirected,0.00070000,2,10,49,pos
19,60,Undirected,0.00050000,1,6,54,pos
19,61,Undirected,-0.00560000,5,19,37,neg
19,62,Undirected,0.00210000,1,8,52,pos
19,63,Undirected,0.00030000,3,3,55,pos
19,64,Undirected,-0.00000000,0,7,54,pos
19,65,Undirected,-0.00030000,1,6,54,neg
19,66,Undirected,-0.00120000,0,8,53,neg
19,67,Undirected,-0.00510000,0,7,54,neg
19,68,Undirected,-0.00670000,1,9,51,neg
19,69,Undirected,-0.00010000,0,7,54,neg
19,70,Undirected,0.00390000,2,9,50,pos
19,71,Undirected,-0.00520000,0,7,54,neg
19,72,Undirected,-0.00540000,0,7,54,neg
19,73,Undirected,0.00180000,0,9,52,pos
19,74,Undirected,-0.00370000,1,6,54,neg
19,75,Undirected,0.00260000,2,12,47,pos
19,76,Undirected,-0.00230000,1,12,48,neg
19,77,Undirected,-0.00090000,5,19,37,neg
19,78,Undirected,-0.00300000,0,8,53,neg
19,79,Undirected,-0.00270000,5,35,21,neg
19,80,Undirected,-0.00050000,2,7,52,neg
19,81,Undirected,0.00210000,5,13,43,pos
19,82,Undirected,0.00040000,4,12,45,pos
19,83,Undirected,-0.00280000,6,30,25,neg
19,84,Undirected,0.00050000,0,7,54,pos
19,85,Undirected,-0.00180000,6,29,26,neg
19,86,Undirected,-0.00200000,1,19,41,neg
19,87,Undirected,-0.00300000,2,11,48,neg
19,88,Undirected,-0.00510000,1,5,55,neg
19,89,Undirected,-0.00410000,2,9,50,neg
19,90,Undirected,-0.00390000,5,26,30,neg
19,91,Undirected,-0.00190000,5,19,37,neg
19,92,Undirected,-0.00020000,1,9,51,neg
19,93,Undirected,-0.00480000,2,7,52,neg
19,94,Undirected,-0.00370000,4,11,46,neg
19,95,Undirected,-0.00310000,5,21,35,neg
19,96,Undirected,-0.00300000,6,55,0,neg
19,97,Undirected,-0.00800000,6,33,22,neg
19,98,Undirected,0.00310000,1,15,45,pos
19,99,Undirected,-0.00160000,5,21,35,neg
19,100,Undirected,-0.00410000,1,5,55,neg
19,101,Undirected,-0.00170000,3,27,31,neg
19,102,Undirected,-0.00260000,4,6,51,neg
19,103,Undirected,0.00340000,4,11,46,pos
19,104,Undirected,-0.00100000,0,7,54,neg
19,105,Undirected,0.00220000,2,7,52,pos
19,106,Undirected,-0.00970000,0,7,54,neg
20,21,Undirected,0.00630000,0,2,59,pos
20,22,Undirected,-0.00460000,0,3,58,neg
20,23,Undirected,-0.00320000,1,8,52,neg
20,24,Undirected,-0.00010000,1,3,57,neg
20,25,Undirected,-0.00530000,1,1,59,neg
20,26,Undirected,0.00140000,1,0,60,pos
20,27,Undirected,0.00080000,0,3,58,pos
20,28,Undirected,-0.00020000,0,2,59,neg
20,29,Undirected,-0.00040000,1,1,59,neg
20,30,Undirected,0.00020000,1,2,58,pos
20,31,Undirected,-0.00230000,1,4,56,neg
20,32,Undirected,0.00000000,1,0,60,pos
20,33,Undirected,-0.00590000,0,2,59,neg
20,34,Undirected,-0.00100000,0,2,59,neg
20,35,Undirected,-0.00240000,1,3,57,neg
20,36,Undirected,0.00000000,0,3,58,pos
20,37,Undirected,-0.00280000,0,2,59,neg
20,38,Undirected,-0.00270000,0,7,54,neg
20,39,Undirected,-0.00180000,0,3,58,neg
20,40,Undirected,0.00300000,0,3,58,pos
20,41,Undirected,-0.00300000,1,6,54,neg
20,42,Undirected,-0.00070000,0,3,58,neg
20,43,Undirected,-0.00250000,1,8,52,neg
20,44,Undirected,-0.00020000,0,3,58,neg
20,45,Undirected,-0.00440000,0,3,58,neg
20,46,Undirected,0.00180000,1,4,56,pos
20,47,Undirected,-0.00170000,0,2,59,neg
20,48,Undirected,-0.00640000,0,2,59,neg
20,49,Undirected,-0.00310000,0,6,55,neg
20,50,Undirected,0.00160000,0,6,55,pos
20,51,Undirected,0.00370000,1,6,54,pos
20,52,Undirected,-0.00510000,1,7,53,neg
20,53,Undirected,0.00370000,0,2,59,pos
20,54,Undirected,0.00170000,0,3,58,pos
20,55,Undirected,0.00090000,1,6,54,pos
20,56,Undirected,-0.00580000,1,1,59,neg
20,57,Undirected,-0.00310000,0,2,59,neg
20,58,Undirected,-0.00180000,1,13,47,neg
20,59,Undirected,0.00080000,1,7,53,pos
20,60,Undirected,0.00040000,1,1,59,pos
20,61,Undirected,-0.00380000,1,22,38,neg
20,62,Undirected,-0.00640000,0,5,56,neg
20,63,Undirected,-0.00100000,1,2,58,neg
20,64,Undirected,-0.00610000,0,2,59,neg
20,65,Undirected,0.00670000,1,1,59,pos
20,66,Undirected,0.00470000,0,3,58,pos
20,67,Undirected,-0.00310000,0,2,59,neg
20,68,Undirected,0.00030000,0,6,55,pos
20,69,Undirected,0.00160000,0,2,59,pos
20,70,Undirected,-0.00740000,0,8,53,neg
20,71,Undirected,-0.00290000,0,2,59,neg
20,72,Undirected,0.00370000,0,2,59,pos
20,73,Undirected,-0.00370000,0,4,57,neg
20,74,Undirected,-0.00360000,1,1,59,neg
20,75,Undirected,-0.00310000,0,11,50,neg
20,76,Undirected,-0.00470000,1,7,53,neg
20,77,Undirected,0.00230000,1,22,38,pos
20,78,Undirected,0.00250000,0,3,58,pos
20,79,Undirected,-0.00570000,1,38,22,neg
20,80,Undirected,-0.00050000,1,4,56,neg
20,81,Undirected,-0.00260000,1,16,44,neg
20,82,Undirected,-0.00660000,1,13,47,neg
20,83,Undirected,-0.00150000,1,35,25,neg
20,84,Undirected,0.00310000,0,2,59,pos
20,85,Undirected,-0.00060000,1,34,26,neg
20,86,Undirected,0.00140000,1,14,46,pos
20,87,Undirected,0.00360000,1,8,52,pos
20,88,Undirected,-0.00160000,1,0,60,neg
20,89,Undirected,0.00110000,1,6,54,pos
20,90,Undirected,-0.00710000,1,29,31,neg
20,91,Undirected,-0.00260000,1,22,38,neg
20,92,Undirected,-0.00430000,1,4,56,neg
20,93,Undirected,0.00080000,0,6,55,pos
20,94,Undirected,0.00130000,1,12,48,pos
20,95,Undirected,-0.00650000,1,24,36,neg
20,96,Undirected,0.00260000,1,60,0,pos
20,97,Undirected,-0.00050000,1,38,22,neg
20,98,Undirected,0.00150000,1,10,50,pos
20,99,Undirected,-0.00160000,1,24,36,neg
20,100,Undirected,-0.00460000,0,2,59,neg
20,101,Undirected,0.00260000,1,26,34,pos
20,102,Undirected,-0.00660000,1,7,53,neg
20,103,Undirected,-0.00450000,1,12,48,neg
20,104,Undirected,-0.00100000,0,2,59,neg
20,105,Undirected,-0.00020000,1,4,56,neg
20,106,Undirected,-0.00100000,0,2,59,neg
21,22,Undirected,-0.00110000,0,3,58,neg
21,23,Undirected,-0.00200000,0,10,51,neg
21,24,Undirected,-0.00300000,0,5,56,neg
21,25,Undirected,-0.00160000,0,3,58,neg
21,26,Undirected,-0.00610000,0,2,59,neg
21,27,Undirected,-0.00640000,0,3,58,neg
21,28,Undirected,-0.00120000,0,2,59,neg
21,29,Undirected,-0.00190000,0,3,58,neg
21,30,Undirected,-0.00100000,0,4,57,neg
21,31,Undirected,-0.00140000,0,6,55,neg
21,32,Undirected,-0.00010000,0,2,59,neg
21,33,Undirected,-0.00260000,0,2,59,neg
21,34,Undirected,-0.00350000,0,2,59,neg
21,35,Undirected,-0.00160000,0,5,56,neg
21,36,Undirected,-0.00080000,0,3,58,neg
21,37,Undirected,0.00050000,0,2,59,pos
21,38,Undirected,-0.00210000,0,7,54,neg
21,39,Undirected,-0.00420000,0,3,58,neg
21,40,Undirected,-0.00480000,0,3,58,neg
21,41,Undirected,-0.00200000,0,8,53,neg
21,42,Undirected,-0.00240000,0,3,58,neg
21,43,Undirected,-0.00230000,0,10,51,neg
21,44,Undirected,0.00030000,0,3,58,pos
21,45,Undirected,-0.00240000,0,3,58,neg
21,46,Undirected,-0.00260000,0,6,55,neg
21,47,Undirected,-0.00120000,0,2,59,neg
21,48,Undirected,-0.01000000,0,2,59,neg
