#OTU ID	mgm4454167	mgm4454183	mgm4623131	mgm4623132	mgm4623133	mgm4685222	mgm4685223	mgm4685224
candidate.division.WWE3	0.0	3.5246845407336e-05	3.93611587925149e-05	9.46205251290136e-05	8.87010455589353e-05	2.65859228022143e-05	3.41542302575741e-05	1.79617486600536e-05
Candidatus.Peregrinibacteria	0.0002942907592701	7.04936908146721e-05	0.0001490443878667	0.000236923834575	0.0002089484880739	5.583043788465e-05	4.44004993348464e-05	4.90954463374797e-05
Candidatus.Doudnabacteria	0.0	3.5246845407336e-05	5.04014838196836e-06	1.41558265941044e-05	7.79381571856754e-06	2.90028248751428e-06	4.26927878219677e-06	7.18469946402142e-06
Candidatus.Berkelbacteria	0.0002942907592701	0.0	3.16809326866583e-05	7.74845245150977e-05	8.46185706587333e-05	1.59515536813286e-05	1.4515547859469e-05	1.43693989280428e-05
Candidatus.Gribaldobacteria	0.0	0.0	2.88008478969621e-06	6.33286979209934e-06	1.85567040918275e-06	5.07549435315e-06	5.12313453863612e-06	1.19744991067024e-06
Candidatus.Saccharibacteria	0.0	4.69957938764481e-05	8.3282451835382e-05	0.0001315001786241	9.7237129441176e-05	1.78850753396714e-05	1.36616921030297e-05	2.63438980347452e-05
Candidatus.Eisenbacteria	0.0	4.69957938764481e-05	2.40007065808017e-06	1.11756525742929e-06	1.85567040918275e-06	2.90028248751428e-06	5.97699029507547e-06	3.59234973201071e-06
Candidatus.Desantisbacteria	0.0	2.3497896938224e-05	3.33609821473144e-05	8.00921767824328e-05	0.0001124536267964	9.42591808442142e-06	6.83084605151483e-06	4.78979964268095e-06
Candidatus.Edwardsbacteria	0.0	0.0	3.64810740028186e-05	0.0001266573958419	9.3896922704647e-05	7.25070621878571e-07	1.70771151287871e-06	3.59234973201071e-06
Candidatus.Lindowbacteria	0.0	5.87447423455601e-05	4.80014131616035e-07	4.09773927724075e-06	1.85567040918275e-06	7.25070621878571e-07	2.56156726931806e-06	2.39489982134047e-06
