#OTU ID	mgm4575366	mgm4575367	mgm4575368	mgm4575369	mgm4575370	mgm4575371	mgm4575372	mgm4575373	mgm4575374	mgm4575375	mgm4575376	mgm4575377	mgm4575355	mgm4575356	mgm4575357	mgm4575358	mgm4575359	mgm4575360	mgm4575361	mgm4575362	mgm4575363	mgm4575364	mgm4575365	mgm4726046	mgm4726047	mgm4569549	mgm4569551	mgm4569550
Candidatus Blackallbacteria	6.62076271186441e-05	4.76974076458944e-06	6.51763018966304e-05	7.99520287827304e-06	0.0	1.66444740346205e-05	0.0	0.0	1.15902051176551e-05	0.0001498913287866	4.79823424979607e-05	1.92200503565319e-05	0.0	4.39319055464031e-05	0.0	0.0	2.00272370423776e-05	1.38310673434669e-05	4.68091745982212e-05	1.78753373969934e-05	2.0033255203638e-05	0.0	0.0	0.0	0.0	0.0	8.60204159899528e-06	2.71300902068717e-06
candidate division CPR2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09829763866008e-05	0.0	0.0	0.0	1.38310673434669e-05	1.56030581994071e-05	3.57506747939867e-05	0.0	8.2815734989648e-05	0.0	0.0	0.0	0.0	8.72151439898133e-06	2.78083424620435e-06
Candidatus Fraserbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.29489291598023e-05	0.0	0.0	0.0	2.76621346869338e-05	4.68091745982212e-05	1.78753373969934e-05	4.00665104072761e-05	0.0	3.87942739651627e-05	1.34823583341198e-05	0.0	0.0	8.18388679904412e-06	3.39126127585896e-05
Candidatus Fischerbacteria	0.0	0.0	0.0	3.99760143913652e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.40336089047387e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.78753373969934e-05	0.0	0.0	0.0	0.0	0.0	1.1469336728257e-06	1.73235559979766e-06	3.32343605034178e-06
Candidatus Sumerlaeota	0.0	9.53948152917889e-06	0.0	0.0	0.0	1.66444740346205e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0001621008267142	3.29489291598023e-05	0.0	0.0	0.0	1.38310673434669e-05	3.12061163988142e-05	1.78753373969934e-05	4.00665104072761e-05	0.0	0.0	0.0	0.0	0.0	5.97363999930228e-06	0.0
candidate division WOR-3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09829763866008e-05	0.0	0.0	0.0	0.0	0.0	1.78753373969934e-05	0.0	0.0	0.0	0.0	0.0	0.0	9.37861479890458e-06	9.97030815102534e-06
Candidatus Wirthbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.89755127941377e-06	0.0	0.0	1.92200503565319e-05	0.0	1.09829763866008e-05	0.0	8.38785438684784e-05	0.0	1.38310673434669e-05	0.0	3.57506747939867e-05	2.0033255203638e-05	8.2815734989648e-05	1.93971369825814e-05	0.0	0.0	0.0	2.98681999965114e-06	6.64687210068356e-06
Candidatus Abawacabacteria	0.0	0.0	0.0	0.0	0.0	5.54815801154017e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09829763866008e-05	0.0	8.38785438684784e-05	0.0	1.38310673434669e-05	6.24122327976283e-05	0.0	0.0	0.0	3.87942739651627e-05	0.0	0.0	1.1469336728257e-06	1.01551879988139e-06	2.03475676551538e-07
Candidatus Absconditabacteria	0.0	2.86184445875367e-05	6.51763018966304e-05	1.99880071956826e-05	1.52781385116037e-05	0.0	2.27650420015025e-05	0.0	1.73853076764826e-05	0.0	0.0	1.92200503565319e-05	0.0	2.19659527732015e-05	0.0	8.38785438684784e-05	0.0	0.0	0.0	0.0	2.0033255203638e-05	0.0	0.0	0.0	0.0	0.0	1.67261919980464e-05	6.78252255171792e-08
candidate division CPR3	0.0	4.76974076458944e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.56030581994071e-05	0.0	0.0	0.0	1.93971369825814e-05	1.34823583341198e-05	0.0	0.0	1.19472799986046e-07	6.78252255171792e-08
